age	CO2
1	0
2	0.005961252
3	0.011922504
4	0.017883756
5	0.023845007
6	0.029806259
7	0.035767511
8	0.041728763
9	0.047690015
10	0.053651267
11	0.053651267
12	0.053651267
13	0.053651267
14	0.053651267
15	0.053651267
16	0.053651267
17	0.053651267
18	0.053651267
19	0.053651267
20	0.053651267
21	0.053651267
22	0.053651267
23	0.053651267
24	0.053651267
25	0.053651267
26	0.053651267
27	0.053651267
28	0.053651267
29	0.053651267
30	0.053651267
31	0.062220566
32	0.070789866
33	0.079359165
34	0.087928465
35	0.096497765
36	0.105067064
37	0.113636364
38	0.122205663
39	0.130774963
40	0.139344262
41	0.147168405
42	0.154992548
43	0.162816692
44	0.170640835
45	0.178464978
46	0.186289121
47	0.194113264
48	0.201937407
49	0.20976155
50	0.217585693
51	0.215722802
52	0.213859911
53	0.211997019
54	0.210134128
55	0.208271237
56	0.206408346
57	0.204545455
58	0.202682563
59	0.200819672
60	0.198956781
61	0.204545455
62	0.210134128
63	0.215722802
64	0.221311475
65	0.226900149
66	0.232488823
67	0.238077496
68	0.24366617
69	0.249254844
70	0.254843517
71	0.251117735
72	0.247391952
73	0.24366617
74	0.239940387
75	0.236214605
76	0.232488823
77	0.22876304
78	0.225037258
79	0.221311475
80	0.217585693
81	0.221311475
82	0.225037258
83	0.22876304
84	0.232488823
85	0.236214605
86	0.239940387
87	0.24366617
88	0.247391952
89	0.251117735
90	0.254843517
91	0.2585693
92	0.262295082
93	0.266020864
94	0.269746647
95	0.273472429
96	0.277198212
97	0.280923994
98	0.284649776
99	0.288375559
100	0.292101341
101	0.292101341
102	0.292101341
103	0.292101341
104	0.292101341
105	0.292101341
106	0.292101341
107	0.292101341
108	0.292101341
109	0.292101341
110	0.292101341
111	0.292101341
112	0.292101341
113	0.292101341
114	0.292101341
115	0.292101341
116	0.292101341
117	0.292101341
118	0.292101341
119	0.292101341
120	0.292101341
121	0.292101341
122	0.292101341
123	0.292101341
124	0.292101341
125	0.292101341
126	0.292101341
127	0.292101341
128	0.292101341
129	0.292101341
130	0.292101341
131	0.295827124
132	0.299552906
133	0.303278689
134	0.307004471
135	0.310730253
136	0.314456036
137	0.318181818
138	0.321907601
139	0.325633383
140	0.329359165
141	0.318181818
142	0.307004471
143	0.295827124
144	0.284649776
145	0.273472429
146	0.262295082
147	0.251117735
148	0.239940387
149	0.22876304
150	0.217585693
151	0.213859911
152	0.210134128
153	0.206408346
154	0.202682563
155	0.198956781
156	0.195230999
157	0.191505216
158	0.187779434
159	0.184053651
160	0.180327869
161	0.184053651
162	0.187779434
163	0.191505216
164	0.195230999
165	0.198956781
166	0.202682563
167	0.206408346
168	0.210134128
169	0.213859911
170	0.217585693
171	0.22876304
172	0.239940387
173	0.251117735
174	0.262295082
175	0.273472429
176	0.284649776
177	0.295827124
178	0.307004471
179	0.318181818
180	0.329359165
181	0.329359165
182	0.329359165
183	0.329359165
184	0.329359165
185	0.329359165
186	0.329359165
187	0.329359165
188	0.329359165
189	0.329359165
190	0.329359165
191	0.355439642
192	0.381520119
193	0.407600596
194	0.433681073
195	0.45976155
196	0.485842027
197	0.511922504
198	0.538002981
199	0.564083458
200	0.590163934
201	0.601341282
202	0.612518629
203	0.623695976
204	0.634873323
205	0.646050671
206	0.657228018
207	0.668405365
208	0.679582712
209	0.69076006
210	0.701937407
211	0.701937407
212	0.701937407
213	0.701937407
214	0.701937407
215	0.701937407
216	0.701937407
217	0.701937407
218	0.701937407
219	0.701937407
220	0.701937407
221	0.716840537
222	0.731743666
223	0.746646796
224	0.761549925
225	0.776453055
226	0.791356185
227	0.806259314
228	0.821162444
229	0.836065574
230	0.850968703
231	0.865871833
232	0.880774963
233	0.895678092
234	0.910581222
235	0.925484352
236	0.940387481
237	0.955290611
238	0.970193741
239	0.98509687
240	1
241	0.988822653
242	0.977645306
243	0.966467958
244	0.955290611
245	0.944113264
246	0.932935917
247	0.921758569
248	0.910581222
249	0.899403875
250	0.888226528
251	0.832339791
252	0.776453055
253	0.720566319
254	0.664679583
255	0.608792846
256	0.55290611
257	0.497019374
258	0.441132638
259	0.385245902
260	0.329359165
261	0.316318927
262	0.303278689
263	0.29023845
264	0.277198212
265	0.264157973
266	0.251117735
267	0.238077496
268	0.225037258
269	0.211997019
270	0.198956781
271	0.185916542
272	0.172876304
273	0.159836066
274	0.146795827
275	0.133755589
276	0.12071535
277	0.107675112
278	0.094634873
279	0.081594635
280	0.068554396
281	0.065946349
282	0.063338301
283	0.060730253
284	0.058122206
285	0.055514158
286	0.05290611
287	0.050298063
288	0.047690015
289	0.045081967
290	0.04247392
291	0.046944858
292	0.051415797
293	0.055886736
294	0.060357675
295	0.064828614
296	0.069299553
297	0.073770492
298	0.078241431
299	0.08271237
300	0.087183308
301	0.084575261
302	0.081967213
303	0.079359165
304	0.076751118
305	0.07414307
306	0.071535022
307	0.068926975
308	0.066318927
309	0.063710879
310	0.061102832
311	0.073025335
312	0.084947839
313	0.096870343
314	0.108792846
315	0.12071535
316	0.132637854
317	0.144560358
318	0.156482861
319	0.168405365
320	0.180327869
321	0.184053651
322	0.187779434
323	0.191505216
324	0.195230999
325	0.198956781
326	0.202682563
327	0.206408346
328	0.210134128
329	0.213859911
330	0.217585693
331	0.221311475
332	0.225037258
333	0.22876304
334	0.232488823
335	0.236214605
336	0.239940387
337	0.24366617
338	0.247391952
339	0.251117735
340	0.254843517
341	0.254843517
342	0.254843517
343	0.254843517
344	0.254843517
345	0.254843517
346	0.254843517
347	0.254843517
348	0.254843517
349	0.254843517
350	0.254843517
351	0.254843517
352	0.254843517
353	0.254843517
354	0.254843517
355	0.254843517
356	0.254843517
357	0.254843517
358	0.254843517
359	0.254843517
360	0.254843517
361	0.266020864
362	0.277198212
363	0.288375559
364	0.299552906
365	0.310730253
366	0.321907601
367	0.333084948
368	0.344262295
369	0.355439642
370	0.36661699
371	0.381520119
372	0.396423249
373	0.411326379
374	0.426229508
375	0.441132638
376	0.456035768
377	0.470938897
378	0.485842027
379	0.500745156
380	0.515648286
381	0.526825633
382	0.538002981
383	0.549180328
384	0.560357675
385	0.571535022
386	0.58271237
387	0.593889717
388	0.605067064
389	0.616244411
390	0.627421759
391	0.593889717
392	0.560357675
393	0.526825633
394	0.493293592
395	0.45976155
396	0.426229508
397	0.392697466
398	0.359165425
399	0.325633383
400	0.292101341
401	0.288375559
402	0.284649776
403	0.280923994
404	0.277198212
405	0.273472429
406	0.269746647
407	0.266020864
408	0.262295082
409	0.2585693
410	0.254843517
411	0.247391952
412	0.239940387
413	0.232488823
414	0.225037258
415	0.217585693
416	0.210134128
417	0.202682563
418	0.195230999
419	0.187779434
420	0.180327869
421	0.184053651
422	0.187779434
423	0.191505216
424	0.195230999
425	0.198956781
426	0.202682563
427	0.206408346
428	0.210134128
429	0.213859911
430	0.217585693
431	0.213859911
432	0.210134128
433	0.206408346
434	0.202682563
435	0.198956781
436	0.195230999
437	0.191505216
438	0.187779434
439	0.184053651
440	0.180327869
441	0.180327869
442	0.180327869
443	0.180327869
444	0.180327869
445	0.180327869
446	0.180327869
447	0.180327869
448	0.180327869
449	0.180327869
450	0.180327869
451	0.217585693
452	0.254843517
453	0.292101341
454	0.329359165
455	0.36661699
456	0.403874814
457	0.441132638
458	0.478390462
459	0.515648286
460	0.55290611
461	0.578986587
462	0.605067064
463	0.631147541
464	0.657228018
465	0.683308495
466	0.709388972
467	0.735469449
468	0.761549925
469	0.787630402
470	0.813710879
471	0.817436662
472	0.821162444
473	0.824888227
474	0.828614009
475	0.832339791
476	0.836065574
477	0.839791356
478	0.843517139
479	0.847242921
480	0.850968703
481	0.854694486
482	0.858420268
483	0.862146051
484	0.865871833
485	0.869597615
486	0.873323398
487	0.87704918
488	0.880774963
489	0.884500745
490	0.888226528
491	0.888226528
492	0.888226528
493	0.888226528
494	0.888226528
495	0.888226528
496	0.888226528
497	0.888226528
498	0.888226528
499	0.888226528
500	0.888226528
501	0.880774963
502	0.873323398
503	0.865871833
504	0.858420268
505	0.850968703
506	0.843517139
507	0.836065574
508	0.828614009
509	0.821162444
510	0.813710879
511	0.813710879
512	0.813710879
513	0.813710879
514	0.813710879
515	0.813710879
516	0.813710879
517	0.813710879
518	0.813710879
519	0.813710879
520	0.813710879
521	0.828614009
522	0.843517139
523	0.858420268
524	0.873323398
525	0.888226528
526	0.903129657
527	0.918032787
528	0.932935917
529	0.947839046
530	0.962742176
531	0.966467958
532	0.970193741
533	0.973919523
534	0.977645306
535	0.981371088
536	0.98509687
537	0.988822653
538	0.992548435
539	0.996274218
540	1
