age	value
1	1
2	0.427518428
3	0.406633907
4	0.325552826
5	0.316953317
6	0.314496314
7	0.250614251
8	0.273955774
9	0.245700246
10	0.250614251
11	0.248157248
12	0.27027027
13	0.212530713
14	0.212530713
15	0.19041769
16	0.242014742
17	0.228501229
18	0.226044226
19	0.223587224
20	0.174447174
21	0.194103194
22	0.168304668
23	0.16953317
24	0.218673219
25	0.143734644
26	0.146191646
27	0.144963145
28	0.195331695
29	0.147420147
30	0.142506143
31	0.141277641
32	0.141277641
33	0.138820639
34	0.218673219
35	0.146191646
36	0.147420147
37	0.148648649
38	0.184275184
39	0.121621622
40	0.128992629
41	0.127764128
42	0.16953317
43	0.142506143
44	0.142506143
45	0.142506143
46	0.142506143
47	0.147420147
48	0.240786241
49	0.176904177
50	0.176904177
51	0.195331695
52	0.185503686
53	0.185503686
54	0.185503686
55	0.19041769
56	0.202702703
57	0.08968059
58	0.085995086
59	0.085995086
60	0.095823096
61	0.081081081
62	0.092137592
63	0.065110565
64	0.067567568
65	0.065110565
66	0.625307125
67	0.601965602
68	0.601965602
69	0.601965602
70	0.601965602
71	0.601965602
72	0.601965602
73	0.945945946
74	0.65970516
75	0.65970516
76	0.65970516
77	0.65970516
78	0.65970516
79	0.65970516
80	0.65970516
81	0.65970516
82	0.65970516
83	0.65970516
84	0.751842752
85	0.300982801
86	0.300982801
87	0.331695332
88	0.240786241
89	0.240786241
90	0.352579853
91	0.310810811
92	0.310810811
93	0.310810811
94	0.459459459
95	0.36977887
96	0.36977887
97	0.36977887
98	0.36977887
99	0.36977887
100	0.36977887
101	0.523341523
102	0.318181818
103	0.318181818
104	0.318181818
105	0.318181818
106	0.318181818
107	0.323095823
108	0.273955774
109	0.273955774
110	0.321867322
111	0.308353808
112	0.308353808
113	0.55036855
114	0.486486486
115	0.486486486
116	0.486486486
117	0.486486486
118	0.486486486
119	0.486486486
120	0.603194103
121	0.540540541
122	0.64987715
123	0.414004914
124	0.414004914
125	0.414004914
126	0.442260442
127	0.224815725
128	0.224815725
129	0.224815725
130	0.224815725
131	0.224815725
132	0.224815725
133	0.27027027
134	0.227272727
135	0.227272727
136	0.227272727
137	0.227272727
138	0.227272727
139	0.227272727
140	0.264127764
141	0.221130221
142	0.189189189
143	0.192874693
144	0.192874693
145	0.315724816
146	0.259213759
147	0.304668305
148	0.293611794
149	0.293611794
150	0.342751843
151	0.291154791
152	0.291154791
153	0.315724816
154	0.246928747
155	0.323095823
156	0.244471744
157	0.244471744
158	0.244471744
159	0.224815725
160	0.224815725
161	0.224815725
162	0.291154791
163	0.213759214
164	0.213759214
165	0.213759214
166	0.245700246
167	0.186732187
168	0.186732187
169	0.214987715
170	0.124078624
171	0.132678133
172	0.093366093
173	0.093366093
174	0.093366093
175	0.14004914
176	0.105651106
177	0.105651106
178	0.105651106
179	0.105651106
180	0.105651106
181	0.110565111
182	0.109336609
183	0.116707617
184	0.108108108
185	0.160933661
186	0.122850123
187	0.122850123
188	0.122850123
189	0.122850123
190	0.122850123
191	0.122850123
192	0.122850123
193	0.206388206
194	0.178132678
195	0.178132678
196	0.178132678
197	0.178132678
198	0.178132678
199	0.178132678
200	0.208845209
201	0.175675676
202	0.267813268
203	0.148648649
204	0.148648649
205	0.148648649
206	0.148648649
207	0.148648649
208	0.148648649
209	0.343980344
210	0.307125307
211	0.307125307
212	0.307125307
213	0.307125307
214	0.315724816
215	0.312039312
216	0.312039312
217	0.312039312
218	0.298525799
219	0.298525799
220	0.298525799
221	0.298525799
222	0.298525799
223	0.298525799
224	0.298525799
225	0.298525799
226	0.298525799
227	0.404176904
228	0.254299754
229	0.254299754
230	0.254299754
231	0.254299754
232	0.254299754
233	0.254299754
234	0.256756757
235	0.249385749
236	0.249385749
237	0.334152334
238	0.14987715
239	0.14987715
240	0.152334152
241	0.138820639
242	0.221130221
243	0.165847666
244	0.180589681
245	0.178132678
246	0.163390663
247	0.163390663
248	0.21990172
249	0.105651106
250	0.082309582
251	0.082309582
252	0.103194103
253	0.014742015
254	0.014742015
255	0.022113022
256	0.01965602
257	0.022113022
258	0.022113022
259	0.022113022
260	0.023341523
261	0.003685504
262	0.003685504
263	0.003685504
264	0.003685504
265	0.004914005
266	0.002457002
267	0.002457002
268	0.002457002
269	0.002457002
270	0.002457002
271	0.002457002
272	0.002457002
273	0.002457002
274	0.006142506
275	0.004914005
276	0.004914005
277	0.004914005
278	0.004914005
279	0.004914005
280	0.004914005
281	0.004914005
282	0.004914005
283	0.004914005
284	0.006142506
285	0.006142506
286	0.006142506
287	0.007371007
288	0.006142506
289	0.006142506
290	0.006142506
291	0.007371007
292	0.003685504
293	0.003685504
294	0.004914005
295	0.003685504
296	0.003685504
297	0.003685504
298	0.003685504
299	0.004914005
300	0.002457002
301	0.002457002
302	0.002457002
303	0.002457002
304	0.003685504
305	0.002457002
306	0.002457002
307	0.001228501
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
