"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"3","Triassagrion australiense","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Archizygoptera",23,21,118.1832,-58.3847
"56","Moltenagrion koningskroonensis","species","Carnian","",237,228,28,-31.5,-1.79,-53.41,"Archizygoptera",24,23,-3.1265,-60.2977
"13100","Blattodea","order","Norian","",228,208.5,-79.668999,36.540901,-12.82,9.85,"Blattodea",23,21,-19.7049,4.0879
"4410","Austromylacrites latus","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,118.1832,-58.3847
"45","Blattodea","order","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,118.1832,-58.3847
"4610","Austroblattula ipsviciensis","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,118.1832,-58.3847
"5610","Blattodea","order","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Blattodea",24,23,-4.7415,-59.7152
"5710","Blattodea","order","Late Triassic","",237,201.3,29.049999,-28.566668,10.1,-51.82,"Blattodea",24,20,1.4142,-58.2827
"5810","Blattodea","order","Carnian","",237,228,27.130301,-30.4214,-1.51,-52.11,"Blattodea",24,23,-3.1882,-58.9868
"127","Argentinoblatta herbsti","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Blattodea",24,23,-34.106,-44.3772
"128","Argentinoblatta","genus","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Blattodea",24,23,-34.106,-44.3772
"129","Condorblatta lutzae","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Blattodea",24,23,-34.106,-44.3772
"130","Condorblatta lutzae","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Blattodea",24,23,-34.0196,-45.5096
"131","Mancusoblatta pulchella","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Blattodea",24,23,-34.106,-44.3772
"132","Hermosablatta pectinata","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Blattodea",24,23,-34.106,-44.3772
"133","Hermosablatta crassatella","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Blattodea",24,23,-34.106,-44.3772
"134","Hermosablatta crassatella","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Blattodea",24,23,-34.0196,-45.5096
"135","Hermosablatta","genus","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Blattodea",24,23,-34.0196,-45.5096
"136","Lariojablatta chanarensis","species","Carnian","",237,228,-67.816666,-29.833332,-26.33,-36.01,"Blattodea",24,23,-34.1708,-44.33
"143","Pulchellablatta nana","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Blattodea",24,23,-34.106,-44.3772
"144","Argentinoblattula revelata","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Blattodea",24,23,-34.106,-44.3772
"150","Condorblatta lutzae","species","Carnian","",237,228,-67.816666,-29.833332,-26.33,-36.01,"Blattodea",24,23,-34.1708,-44.33
"449","Sardyoblattina kimurai","species","Carnian","",237,228,131.169998,34.185001,134.63,17.8,"Blattodea",24,23,116.7747,43.1149
"450","Blattodea","order","Carnian","",237,228,131.169998,34.185001,134.63,17.8,"Blattodea",24,23,116.7747,43.1149
"451","Pedinoblatta ishidae","species","Carnian","",237,228,131.169998,34.185001,134.63,17.8,"Blattodea",24,23,116.7747,43.1149
"516","Hermosablatta pygmaea","species","Carnian","",237,228,-69.113998,-29.080999,-27.76,-35.29,"Blattodea",24,23,-35.7976,-43.6429
"2961","Coleoptera","order","Carnian","Norian",237,208.5,18.275557,50.665833,27.93,33.11,"Coleoptera",24,21,18.4822,28.0504
"3212","Coleoptera","order","Norian","",228,208.5,-53.446667,-29.5625,-6.86,-38.53,"Coleoptera",23,21,-16.8325,-44.09
"3562","Platycrossos caroli","species","Carnian","",237,228,15.03,47.847,35.99,16.02,"Coleoptera",24,23,21.2741,16.369
"3633","Hydrobiites handlirschi","species","Carnian","",237,228,15.03,47.847,35.99,16.02,"Coleoptera",24,23,21.2741,16.369
"3741","Ademosyne polyzetete","species","Carnian","",237,228,15.03,47.847,35.99,16.02,"Coleoptera",24,23,21.2741,16.369
"3827","Diarcuipenna bennettitophila","species","Carnian","",237,228,15.03,47.847,35.99,16.02,"Coleoptera",24,23,21.2741,16.369
"3911","Polyphaga","suborder","Carnian","",237,228,15.03,47.847,35.99,16.02,"Coleoptera",24,23,21.2741,16.369
"4010","Pseudobuprestites pterophylli","species","Carnian","",237,228,9.52,47.139999,26.51,26.85,"Coleoptera",24,23,17.6714,17.9519
"4110","Pseudocurculionites prodromus","species","Carnian","",237,228,9.52,47.139999,26.51,26.85,"Coleoptera",24,23,17.6714,17.9519
"5311","Coleoptera","order","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Coleoptera",24,23,-4.7415,-59.7152
"9110","Phoroschizidae","family","Norian","",228,208.5,-79.668999,36.540901,-12.82,9.85,"Coleoptera",23,21,-19.7049,4.0879
"22110","Ademosyne llantenesensis","species","Norian","",228,208.5,-69.589996,-35.630001,-23.06,-45.59,"Coleoptera",23,21,-35.8662,-50.204
"22210","Ademosyne rosenfeldi","species","Norian","",228,208.5,-69.589996,-35.630001,-23.06,-45.59,"Coleoptera",23,21,-35.8662,-50.204
"2505","Ademosyne australiensis","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"25110","Ademosynoides angusta","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"252","Ademosynoides obtusa","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"253","Ademosyne olliffi","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"254","Ademosyne major","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"25510","Ademosynoides minor","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"25610","Ademosyne congener","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"25710","Platycrossos tumidus","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
