"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"4810","Isoptera","infraorder","Late Maastrichtian","",70.6,66,-74.758331,40.120834,-37.9,41.35,"Blattodea",7,7,-49.2426,40.4999
"97","Xonpepetla rinconensis","species","Late Campanian","",83.5,70.6,-101.349998,25.25,-68.24,34.32,"Blattodea",8,7,-80.79,31.8997
"110","Stantoniella cretacea","species","Middle Campanian","Late Campanian",83.5,70.6,-111.629997,45.82,-71.52,56.67,"Blattodea",8,7,-85.9378,53.9095
"138","Isoptera","infraorder","Middle Campanian","",83.5,70.6,-111.699997,49.825001,-66.71,60.15,"Blattodea",8,7,-83.0238,57.7064
"448","Strictiblatta longanusis","species","Late Cretaceous","",100.5,66,117.309998,31.82,117.17,30.07,"Blattodea",10,7,107.9225,31.437
"22101","Dermestidae","family","Late Campanian","",83.5,70.6,-112.640831,48.910831,-68.57,59.57,"Coleoptera",8,7,-84.6105,57.0145
"3353","Dermestidae","family","Early Maastrichtian","",70.6,66,-151.51944,69.832222,-107.56,88.97,"Coleoptera",7,7,-126.7298,82.5917
"30310","Curculionidae","family","Late Maastrichtian","",70.6,66,-74.758331,40.120834,-37.9,41.35,"Coleoptera",7,7,-49.2426,40.4999
"4601","Palaeoleptochromus schaufussi","species","Middle Campanian","",83.5,70.6,-111.699997,49.825001,-66.71,60.15,"Coleoptera",8,7,-83.0238,57.7064
"4612","Mesopachymerus antiqua","species","Middle Campanian","",83.5,70.6,-111.699997,49.825001,-66.71,60.15,"Coleoptera",8,7,-83.0238,57.7064
"870","Stenus (Nestus) imputribilis","species","Early Campanian","",83.5,70.6,150.490005,60.167,133.08,63.88,"Coleoptera",8,7,134.7094,64.5706
"871","Cretoquedius oculatus","species","Early Campanian","",83.5,70.6,150.490005,60.167,133.08,63.88,"Coleoptera",8,7,134.7094,64.5706
"979","Cyllolithus mirandus","species","Early Campanian","",83.5,70.6,150.490005,60.167,133.08,63.88,"Coleoptera",8,7,134.7094,64.5706
"1813","Metabuprestium sibiricum","species","Early Campanian","",83.5,70.6,146.737,63.248001,126.05,65.82,"Coleoptera",8,7,128.4855,67.0537
"1814","Metabuprestium arkagalense","species","Early Campanian","",83.5,70.6,146.737,63.248001,126.05,65.82,"Coleoptera",8,7,128.4855,67.0537
"1829","Curculionites hylobioides","species","Maastrichtian","",72.1,66,-101.730003,44.939999,-60.79,54.51,"Coleoptera",7,7,-74.4577,51.0305
"1830","Curculionites vulpinus","species","Maastrichtian","",72.1,66,-101.730003,44.939999,-60.79,54.51,"Coleoptera",7,7,-74.4577,51.0305
"1831","Curculionites","genus","Maastrichtian","",72.1,66,-101.730003,44.939999,-60.79,54.51,"Coleoptera",7,7,-74.4577,51.0305
"1832","Carabites","genus","Maastrichtian","",72.1,66,-101.730003,44.939999,-60.79,54.51,"Coleoptera",7,7,-74.4577,51.0305
"1833","Curculionites northropi","species","Maastrichtian","",72.1,66,-101.730003,44.939999,-60.79,54.51,"Coleoptera",7,7,-74.4577,51.0305
"1834","Carabites russelli","species","Maastrichtian","",72.1,66,-101.730003,44.939999,-60.79,54.51,"Coleoptera",7,7,-74.4577,51.0305
"2076","Hylobiites cretaceus","species","Early Campanian","Middle Campanian",83.5,70.6,-101.415001,50.695,-54.47,58.03,"Coleoptera",8,7,-71.0465,56.4261
"2139","Polyphaga","suborder","Late Campanian","Early Maastrichtian",83.5,66,176.845444,-38.907539,-157.04,-54.86,"Coleoptera",8,7,-168.9006,-56.5336
"2164","Lomatus hislopi","species","Late Maastrichtian","",70.6,66,79.07,21.174999,70.99,-31.06,"Coleoptera",7,7,60.9954,-27.4546
"2165","Buprestidae","family","Late Maastrichtian","",70.6,66,79.07,21.174999,70.99,-31.06,"Coleoptera",7,7,60.9954,-27.4546
"2166","Meristos hunteri","species","Late Maastrichtian","",70.6,66,79.07,21.174999,70.99,-31.06,"Coleoptera",7,7,60.9954,-27.4546
"2167","Curculionidae","family","Late Maastrichtian","",70.6,66,79.07,21.174999,70.99,-31.06,"Coleoptera",7,7,60.9954,-27.4546
"2354","Dorotheus guidensis","species","Late Campanian","",83.5,70.6,-72.419998,-50.91,-57.57,-51.03,"Coleoptera",8,7,-62.2983,-52.7056
