age	value
1	1
2	0.415929204
3	0.390644753
4	0.303413401
5	0.295828066
6	0.280657396
7	0.219974716
8	0.233881163
9	0.204804046
10	0.209860936
11	0.202275601
12	0.218710493
13	0.173198483
14	0.170670038
15	0.150442478
16	0.199747155
17	0.188369153
18	0.184576485
19	0.18204804
20	0.13653603
21	0.15676359
22	0.14159292
23	0.142857143
24	0.188369153
25	0.115044248
26	0.117572693
27	0.11630847
28	0.168141593
29	0.127686473
30	0.122629583
31	0.12136536
32	0.12136536
33	0.118836915
34	0.188369153
35	0.117572693
36	0.117572693
37	0.117572693
38	0.145385588
39	0.084702908
40	0.088495575
41	0.087231353
42	0.125158028
43	0.103666245
44	0.103666245
45	0.103666245
46	0.103666245
47	0.108723135
48	0.188369153
49	0.132743363
50	0.132743363
51	0.147914033
52	0.137800253
53	0.137800253
54	0.137800253
55	0.139064475
56	0.137800253
57	0.04045512
58	0.037926675
59	0.037926675
60	0.04551201
61	0.03539823
62	0.039190898
63	0.02022756
64	0.02022756
65	0.018963338
66	0.07585335
67	0.069532238
68	0.069532238
69	0.069532238
70	0.069532238
71	0.069532238
72	0.069532238
73	0.09102402
74	0.048040455
75	0.048040455
76	0.048040455
77	0.048040455
78	0.048040455
79	0.048040455
80	0.048040455
81	0.048040455
82	0.048040455
83	0.048040455
84	0.06068268
85	0.024020228
86	0.024020228
87	0.02528445
88	0.017699115
89	0.017699115
90	0.03034134
91	0.024020228
92	0.024020228
93	0.024020228
94	0.032869785
95	0.018963338
96	0.018963338
97	0.018963338
98	0.018963338
99	0.018963338
100	0.018963338
101	0.03539823
102	0.022756005
103	0.022756005
104	0.022756005
105	0.022756005
106	0.022756005
107	0.022756005
108	0.02022756
109	0.02022756
110	0.02022756
111	0.018963338
112	0.018963338
113	0.109987358
114	0.107458913
115	0.107458913
116	0.107458913
117	0.107458913
118	0.107458913
119	0.107458913
120	0.130214918
121	0.128950695
122	0.14664981
123	0.063211125
124	0.063211125
125	0.063211125
126	0.07079646
127	0.024020228
128	0.024020228
129	0.024020228
130	0.024020228
131	0.024020228
132	0.024020228
133	0.02528445
134	0.008849558
135	0.008849558
136	0.008849558
137	0.008849558
138	0.008849558
139	0.008849558
140	0.01011378
141	0.01011378
142	0.01011378
143	0.01011378
144	0.01011378
145	0.01011378
146	0.00505689
147	0.00505689
148	0.00505689
149	0.00505689
150	0.00505689
151	0.00505689
152	0.00505689
153	0.00505689
154	0.002528445
155	0.003792668
156	0.003792668
157	0.003792668
158	0.003792668
159	0.003792668
160	0.003792668
161	0.003792668
162	0.003792668
163	0
164	0
165	0
166	0.001264223
167	0.001264223
168	0.001264223
169	0.001264223
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
