age	value
1	0.736874237
2	0.647130647
3	0.81013431
4	0.773504274
5	0.827838828
6	1
7	0.832722833
8	0.937118437
9	0.851037851
10	0.861416361
11	0.832722833
12	0.945665446
13	0.758241758
14	0.772283272
15	0.698412698
16	0.840659341
17	0.784493284
18	0.761294261
19	0.794261294
20	0.775946276
21	0.837606838
22	0.685592186
23	0.689255189
24	0.833943834
25	0.514041514
26	0.516483516
27	0.514652015
28	0.681318681
29	0.539072039
30	0.494505495
31	0.426739927
32	0.451159951
33	0.435897436
34	0.598901099
35	0.394993895
36	0.397435897
37	0.424297924
38	0.545787546
39	0.440781441
40	0.481074481
41	0.454212454
42	0.552503053
43	0.456654457
44	0.456043956
45	0.456043956
46	0.456043956
47	0.498168498
48	0.60989011
49	0.423687424
50	0.423687424
51	0.458485958
52	0.425518926
53	0.425518926
54	0.425518926
55	0.438339438
56	0.443223443
57	0.195360195
58	0.170940171
59	0.170940171
60	0.191086691
61	0.155677656
62	0.153235653
63	0.123321123
64	0.148351648
65	0.111111111
66	0.161782662
67	0.062271062
68	0.062271062
69	0.062271062
70	0.062271062
71	0.062271062
72	0.062271062
73	0.091575092
74	0.058608059
75	0.058608059
76	0.058608059
77	0.058608059
78	0.058608059
79	0.058608059
80	0.058608059
81	0.058608059
82	0.058608059
83	0.058608059
84	0.062271062
85	0.021367521
86	0.021367521
87	0.023809524
88	0.015262515
89	0.015262515
90	0.021978022
91	0.021978022
92	0.021978022
93	0.021978022
94	0.037851038
95	0.025030525
96	0.025030525
97	0.025030525
98	0.025030525
99	0.025030525
100	0.025030525
101	0.032967033
102	0.015873016
103	0.015873016
104	0.015873016
105	0.015873016
106	0.015873016
107	0.015873016
108	0.014652015
109	0.014652015
110	0.024420024
111	0.022588523
112	0.022588523
113	0.031746032
114	0.029304029
115	0.029304029
116	0.029304029
117	0.029304029
118	0.029304029
119	0.029304029
120	0.040903541
121	0.027472527
122	0.038461538
123	0.027472527
124	0.027472527
125	0.027472527
126	0.027472527
127	0.006105006
128	0.006105006
129	0.006105006
130	0.006105006
131	0.006105006
132	0.006105006
133	0.01037851
134	0.009157509
135	0.009157509
136	0.009157509
137	0.009157509
138	0.009157509
139	0.009157509
140	0.012820513
141	0.01953602
142	0.017094017
143	0.023809524
144	0.021367521
145	0.036019536
146	0.026862027
147	0.028693529
148	0.021367521
149	0.021367521
150	0.038461538
151	0.036019536
152	0.036019536
153	0.037240537
154	0.030525031
155	0.034188034
156	0.007936508
157	0.007936508
158	0.007936508
159	0.007326007
160	0.007326007
161	0.007326007
162	0.011599512
163	0.008547009
164	0.008547009
165	0.008547009
166	0.017094017
167	0.014041514
168	0.014041514
169	0.014041514
170	0.002442002
171	0.004273504
172	0.004273504
173	0.004273504
174	0.004273504
175	0.006105006
176	0.005494505
177	0.005494505
178	0.005494505
179	0.005494505
180	0.005494505
181	0.005494505
182	0.005494505
183	0.005494505
184	0.003663004
185	0.005494505
186	0.003052503
187	0.003052503
188	0.003052503
189	0.003052503
190	0.003052503
191	0.003052503
192	0.003052503
193	0.006105006
194	0.004273504
195	0.004273504
196	0.004273504
197	0.004273504
198	0.004273504
199	0.004273504
200	0.004273504
201	0.004273504
202	0.004884005
203	0.001831502
204	0.001831502
205	0.001831502
206	0.001831502
207	0.001831502
208	0.001831502
209	0.001831502
210	0.000610501
211	0.000610501
212	0.000610501
213	0.000610501
214	0.000610501
215	0.000610501
216	0.000610501
217	0.000610501
218	0.000610501
219	0.000610501
220	0.000610501
221	0.000610501
222	0.000610501
223	0.000610501
224	0.000610501
225	0.000610501
226	0.000610501
227	0.001221001
228	0.000610501
229	0.000610501
230	0.000610501
231	0.000610501
232	0.000610501
233	0.000610501
234	0.000610501
235	0.000610501
236	0.000610501
237	0.000610501
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
