age	value
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0.509615385
67	0.509615385
68	0.509615385
69	0.509615385
70	0.509615385
71	0.509615385
72	0.509615385
73	1
74	0.807692308
75	0.807692308
76	0.807692308
77	0.807692308
78	0.807692308
79	0.807692308
80	0.807692308
81	0.807692308
82	0.807692308
83	0.807692308
84	0.908653846
85	0.298076923
86	0.298076923
87	0.307692308
88	0.197115385
89	0.197115385
90	0.240384615
91	0.201923077
92	0.201923077
93	0.201923077
94	0.326923077
95	0.278846154
96	0.278846154
97	0.278846154
98	0.278846154
99	0.278846154
100	0.278846154
101	0.408653846
102	0.259615385
103	0.259615385
104	0.259615385
105	0.259615385
106	0.259615385
107	0.259615385
108	0.216346154
109	0.216346154
110	0.274038462
111	0.259615385
112	0.259615385
113	0.370192308
114	0.317307692
115	0.317307692
116	0.317307692
117	0.317307692
118	0.317307692
119	0.317307692
120	0.360576923
121	0.322115385
122	0.399038462
123	0.235576923
124	0.235576923
125	0.235576923
126	0.240384615
127	0.158653846
128	0.158653846
129	0.158653846
130	0.158653846
131	0.158653846
132	0.158653846
133	0.201923077
134	0.197115385
135	0.197115385
136	0.197115385
137	0.197115385
138	0.197115385
139	0.197115385
140	0.225961538
141	0.177884615
142	0.139423077
143	0.139423077
144	0.139423077
145	0.216346154
146	0.173076923
147	0.1875
148	0.182692308
149	0.182692308
150	0.192307692
151	0.168269231
152	0.168269231
153	0.173076923
154	0.129807692
155	0.177884615
156	0.139423077
157	0.139423077
158	0.139423077
159	0.125
160	0.125
161	0.125
162	0.1875
163	0.144230769
164	0.144230769
165	0.144230769
166	0.144230769
167	0.125
168	0.125
169	0.134615385
170	0.072115385
171	0.076923077
172	0.038461538
173	0.038461538
174	0.038461538
175	0.057692308
176	0.043269231
177	0.043269231
178	0.043269231
179	0.043269231
180	0.043269231
181	0.043269231
182	0.043269231
183	0.043269231
184	0.038461538
185	0.057692308
186	0.048076923
187	0.048076923
188	0.048076923
189	0.048076923
190	0.048076923
191	0.048076923
192	0.048076923
193	0.076923077
194	0.067307692
195	0.067307692
196	0.067307692
197	0.067307692
198	0.067307692
199	0.067307692
200	0.072115385
201	0.072115385
202	0.076923077
203	0.019230769
204	0.019230769
205	0.019230769
206	0.019230769
207	0.019230769
208	0.019230769
209	0.028846154
210	0.024038462
211	0.024038462
212	0.024038462
213	0.024038462
214	0.024038462
215	0.024038462
216	0.024038462
217	0.024038462
218	0.024038462
219	0.024038462
220	0.024038462
221	0.024038462
222	0.024038462
223	0.024038462
224	0.024038462
225	0.024038462
226	0.024038462
227	0.028846154
228	0.024038462
229	0.024038462
230	0.024038462
231	0.024038462
232	0.024038462
233	0.024038462
234	0.024038462
235	0.024038462
236	0.024038462
237	0.024038462
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
