age	value
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0.275362319
67	0.275362319
68	0.275362319
69	0.275362319
70	0.275362319
71	0.275362319
72	0.275362319
73	0.507246377
74	0.289855072
75	0.289855072
76	0.289855072
77	0.289855072
78	0.289855072
79	0.289855072
80	0.289855072
81	0.289855072
82	0.289855072
83	0.289855072
84	0.333333333
85	0.173913043
86	0.173913043
87	0.202898551
88	0.144927536
89	0.144927536
90	0.231884058
91	0.173913043
92	0.173913043
93	0.173913043
94	0.333333333
95	0.289855072
96	0.289855072
97	0.289855072
98	0.289855072
99	0.289855072
100	0.289855072
101	0.52173913
102	0.405797101
103	0.405797101
104	0.405797101
105	0.405797101
106	0.405797101
107	0.405797101
108	0.275362319
109	0.275362319
110	0.289855072
111	0.275362319
112	0.275362319
113	0.782608696
114	0.724637681
115	0.724637681
116	0.724637681
117	0.724637681
118	0.724637681
119	0.724637681
120	1
121	0.710144928
122	0.782608696
123	0.492753623
124	0.492753623
125	0.492753623
126	0.492753623
127	0.15942029
128	0.15942029
129	0.15942029
130	0.15942029
131	0.15942029
132	0.15942029
133	0.188405797
134	0.173913043
135	0.173913043
136	0.173913043
137	0.173913043
138	0.173913043
139	0.173913043
140	0.275362319
141	0.202898551
142	0.15942029
143	0.15942029
144	0.15942029
145	0.246376812
146	0.15942029
147	0.289855072
148	0.289855072
149	0.289855072
150	0.362318841
151	0.246376812
152	0.246376812
153	0.405797101
154	0.289855072
155	0.434782609
156	0.376811594
157	0.376811594
158	0.376811594
159	0.362318841
160	0.362318841
161	0.362318841
162	0.405797101
163	0.304347826
164	0.304347826
165	0.304347826
166	0.333333333
167	0.275362319
168	0.275362319
169	0.289855072
170	0.057971014
171	0.057971014
172	0.043478261
173	0.043478261
174	0.043478261
175	0.057971014
176	0.057971014
177	0.057971014
178	0.057971014
179	0.057971014
180	0.057971014
181	0.057971014
182	0.057971014
183	0.086956522
184	0.086956522
185	0.115942029
186	0.072463768
187	0.072463768
188	0.072463768
189	0.072463768
190	0.072463768
191	0.072463768
192	0.072463768
193	0.086956522
194	0.086956522
195	0.086956522
196	0.086956522
197	0.086956522
198	0.086956522
199	0.086956522
200	0.086956522
201	0.072463768
202	0.115942029
203	0.057971014
204	0.057971014
205	0.057971014
206	0.057971014
207	0.057971014
208	0.057971014
209	0.144927536
210	0.144927536
211	0.144927536
212	0.144927536
213	0.144927536
214	0.173913043
215	0.130434783
216	0.130434783
217	0.130434783
218	0.072463768
219	0.072463768
220	0.072463768
221	0.072463768
222	0.072463768
223	0.072463768
224	0.072463768
225	0.072463768
226	0.072463768
227	0.072463768
228	0.014492754
229	0.014492754
230	0.014492754
231	0.014492754
232	0.014492754
233	0.014492754
234	0.014492754
235	0.014492754
236	0.014492754
237	0.014492754
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
