age	Solar_radiation
1	1
2	0.998327417
3	0.996654833
4	0.99498225
5	0.993309667
6	0.991637084
7	0.9899645
8	0.988291917
9	0.986619334
10	0.98494675
11	0.983086428
12	0.981226106
13	0.979365784
14	0.977505461
15	0.975645139
16	0.973784817
17	0.971924495
18	0.970064173
19	0.96820385
20	0.966343528
21	0.964483206
22	0.962622884
23	0.960762561
24	0.958902239
25	0.957041917
26	0.955181595
27	0.953321273
28	0.95146095
29	0.949600628
30	0.947740306
31	0.945879984
32	0.944019661
33	0.942159339
34	0.940299017
35	0.938438695
36	0.936578372
37	0.93471805
38	0.932857728
39	0.930997406
40	0.929137084
41	0.927293829
42	0.925450573
43	0.923607318
44	0.921764063
45	0.919920808
46	0.918077553
47	0.916234298
48	0.914391043
49	0.912547788
50	0.910704533
51	0.908844211
52	0.906983889
53	0.905123566
54	0.903263244
55	0.901402922
56	0.8995426
57	0.897682277
58	0.895821955
59	0.893961633
60	0.892101311
61	0.890240989
62	0.888380666
63	0.886520344
64	0.884660022
65	0.8827997
66	0.880939377
67	0.879079055
68	0.877218733
69	0.875358411
70	0.873498088
71	0.871637766
72	0.869777444
73	0.867917122
74	0.8660568
75	0.864196477
76	0.862336155
77	0.860475833
78	0.858615511
79	0.856755188
80	0.854894866
81	0.853034544
82	0.851174222
83	0.8493139
84	0.847453577
85	0.845593255
86	0.843732933
87	0.841872611
88	0.840012288
89	0.838151966
90	0.836291644
91	0.834431322
92	0.832570999
93	0.830710677
94	0.828850355
95	0.826990033
96	0.825129711
97	0.823269388
98	0.821409066
99	0.819548744
100	0.817688422
101	0.815828099
102	0.813967777
103	0.812107455
104	0.810247133
105	0.80838681
106	0.806526488
107	0.804666166
108	0.802805844
109	0.800945522
110	0.799085199
111	0.797224877
112	0.795364555
113	0.793504233
114	0.79164391
115	0.789783588
116	0.787923266
117	0.786062944
118	0.784202622
119	0.782342299
120	0.780481977
121	0.778638722
122	0.776795467
123	0.774952212
124	0.773108957
125	0.771265702
126	0.769422447
127	0.767579192
128	0.765735937
129	0.763892682
130	0.762049427
131	0.760189104
132	0.758328782
133	0.75646846
134	0.754608138
135	0.752747815
136	0.750887493
137	0.749027171
138	0.747166849
139	0.745306526
140	0.743446204
141	0.741585882
142	0.73972556
143	0.737865238
144	0.736004915
145	0.734144593
146	0.732284271
147	0.730423949
148	0.728563626
149	0.726703304
150	0.724842982
151	0.72298266
152	0.721122338
153	0.719262015
154	0.717401693
155	0.715541371
156	0.713681049
157	0.711820726
158	0.709960404
159	0.708100082
160	0.70623976
161	0.704379437
162	0.702519115
163	0.700658793
164	0.698798471
165	0.696938149
166	0.695077826
167	0.693217504
168	0.691357182
169	0.68949686
170	0.687636537
171	0.685776215
172	0.683915893
173	0.682055571
174	0.680195248
