age	Surface_temperature
1	0.135915493
2	0.145070423
3	0.154225352
4	0.163380282
5	0.172535211
6	0.181690141
7	0.19084507
8	0.2
9	0.20915493
10	0.218309859
11	0.218309859
12	0.218309859
13	0.218309859
14	0.218309859
15	0.218309859
16	0.218309859
17	0.218309859
18	0.218309859
19	0.218309859
20	0.218309859
21	0.221830986
22	0.225352113
23	0.228873239
24	0.232394366
25	0.235915493
26	0.23943662
27	0.242957746
28	0.246478873
29	0.25
30	0.253521127
31	0.282394366
32	0.311267606
33	0.340140845
34	0.369014085
35	0.397887324
36	0.426760563
37	0.455633803
38	0.484507042
39	0.513380282
40	0.542253521
41	0.55915493
42	0.576056338
43	0.592957746
44	0.609859155
45	0.626760563
46	0.643661972
47	0.66056338
48	0.677464789
49	0.694366197
50	0.711267606
51	0.70915493
52	0.707042254
53	0.704929577
54	0.702816901
55	0.700704225
56	0.698591549
57	0.696478873
58	0.694366197
59	0.692253521
60	0.690140845
61	0.697887324
62	0.705633803
63	0.713380282
64	0.721126761
65	0.728873239
66	0.736619718
67	0.744366197
68	0.752112676
69	0.759859155
70	0.767605634
71	0.773943662
72	0.78028169
73	0.786619718
74	0.792957746
75	0.799295775
76	0.805633803
77	0.811971831
78	0.818309859
79	0.824647887
80	0.830985915
81	0.83028169
82	0.829577465
83	0.828873239
84	0.828169014
85	0.827464789
86	0.826760563
87	0.826056338
88	0.825352113
89	0.824647887
90	0.823943662
91	0.821126761
92	0.818309859
93	0.815492958
94	0.812676056
95	0.809859155
96	0.807042254
97	0.804225352
98	0.801408451
99	0.798591549
100	0.795774648
101	0.790140845
102	0.784507042
103	0.778873239
104	0.773239437
105	0.767605634
106	0.761971831
107	0.756338028
108	0.750704225
109	0.745070423
110	0.73943662
111	0.734507042
112	0.729577465
113	0.724647887
114	0.71971831
115	0.714788732
116	0.709859155
117	0.704929577
118	0.7
119	0.695070423
120	0.690140845
121	0.683098592
122	0.676056338
123	0.669014085
124	0.661971831
125	0.654929577
126	0.647887324
127	0.64084507
128	0.633802817
129	0.626760563
130	0.61971831
131	0.614788732
132	0.609859155
133	0.604929577
134	0.6
135	0.595070423
136	0.590140845
137	0.585211268
138	0.58028169
139	0.575352113
140	0.570422535
141	0.564788732
142	0.55915493
143	0.553521127
144	0.547887324
145	0.542253521
146	0.536619718
147	0.530985915
148	0.525352113
149	0.51971831
150	0.514084507
151	0.511267606
152	0.508450704
153	0.505633803
154	0.502816901
155	0.5
156	0.497183099
157	0.494366197
158	0.491549296
159	0.488732394
160	0.485915493
161	0.483802817
162	0.481690141
163	0.479577465
164	0.477464789
165	0.475352113
