x,y,insect.M.distribution70t1.2_PA1_RUN1 logistic values
-151.3,81.3,0.05424411
-109.3,79.9,0.0415109
173.7,79.1,0.06411261
-174.3,77.9,0.53870803
-15.5,68.7,0.006566894
5.90000000000001,64.3,0.020235257
0.5,63.5,5.5437344E-5
-13.3,60.3,7.769844E-4
-34.3,58.3,0.062713936
-42.5,54.3,0.022911416
-43.5,45.7,0.015395345
69.5,45.7,0.01689053
39.5,41.1,0.4593725
41.1,39.9,0.4967947
57.3,39.1,0.17441148
103.3,28.3,0.11091547
74.1,27.5,0.07386911
84.5,26.5,7.910159E-6
29.7,24.5,0.65203017
-3.5,23.5,0.36855286
39.9,16.5,0.649531
15.3,15.9,0.11437877
80.3,10.9,0.6510372
0.700000000000017,10.1,0.0013549901
-16.7,9.3,0.09351706
-14.9,9.09999999999999,0.039275315
-16.1,8.3,0.091694504
-18.1,7.3,0.22223662
12.5,5.09999999999999,0.12956761
-8.09999999999999,3.89999999999999,0.020757979
-37.1,-1.30000000000001,0.005071884
51.9,-3.5,0.6440497
-25.1,-7.10000000000001,0.43976772
2.70000000000002,-8.30000000000001,0.04512873
30.3,-9.90000000000001,0.1105639
60.7,-13.1,0.64892405
-34.9,-14.3,0.055510618
-54.3,-15.3,0.048588414
-43.5,-16.1,0.0042379894
8.5,-17.5,0.0028653492
4.90000000000001,-18.5,0.006658605
9.10000000000002,-20.1,1.1326924E-5
16.3,-20.3,0.071299925
-28.7,-22.7,8.0963065E-7
8.70000000000002,-23.5,2.6682142E-6
7.70000000000002,-24.9,8.118218E-7
57.5,-27.9,8.772107E-4
-36.7,-33.9,0.42278847
38.7,-35.1,0.023460817
141.3,-48.9,0.0813713
101.3,-49.3,0.31345093
109.9,-52.1,4.384405E-4
103.7,-52.7,0.003638376
141.5,-56.1,0.09169383
146.7,-56.5,0.11944988
136.9,-58.9,0.092432156
110.1,-60.3,0.1986294
145.1,-60.3,0.57610583
120.1,-69.5,0.61775154
58.7,-80.5,5.0613613E-7
