background,x,y,PC1,PC2,PC3
background,-130.5,72.5,6115.64061968879,-3357.35422187334,-166.340162380068
background,66.9,64.3,-39036.8260511588,2243.2332342835,8546.94267537067
background,4.5,64.1,-35788.4831687332,-3218.98621717824,1077.11437957941
background,39.1,59.9,-7289.66880408355,2810.32923111139,-1589.44183769146
background,19.7,58.7,-11546.4967868732,217.278302772905,-315.806750029088
background,16.9,56.1,-4542.79060152804,1416.25115137001,-1152.22470249944
background,41.1,53.5,-5398.76504193789,1289.52240589184,-1234.01482794894
background,13.7,51.9,229.437356952272,1353.39245377341,-868.887704845894
background,-37.7,51.7,1699.49095778836,-2127.51880125136,51.5120773488705
background,25.7,50.7,-503.35165571576,1654.85429748586,-884.784471756867
background,30.7,50.5,-856.3650922699,1391.27674305782,-820.632224800733
background,44.7,50.1,-1718.12789858924,1464.9012071925,-802.535211985975
background,-39.3,43.5,-7137.35824149971,843.148120196252,2534.39475080056
background,14.7,42.9,1197.04903647024,1389.72954863813,-65.4045951305986
background,71.7,41.9,-771.780768459528,-5400.27044856782,-243.071541426105
background,5.10000000000002,36.1,340.917272835384,-245.916895933704,151.12695616239
background,72.7,33.9,1038.94889904523,-2142.07152770437,689.859960559447
background,12.3,33.7,2249.05529124899,2808.5150575366,284.531975601458
background,50.1,32.3,2031.60661753435,2393.47967184564,774.605109789511
background,73.3,32.3,882.770336011831,-329.279245950319,720.117032575742
background,11.1,31.5,2160.39599572262,3162.91653307163,299.206218680521
background,109.9,30.3,1416.60929448561,403.669571149787,612.769317454755
background,78.5,22.9,3559.19689977035,-2746.83841205117,-295.06918210992
background,78.1,22.1,4338.09020051828,-1589.86711122012,41.7218598518829
background,-0.5,21.3,797.96782492547,948.299948964862,981.293053924284
background,98.5,12.7,4818.96143851764,-441.082303467,-155.745172235995
background,30.7,5.89999999999999,5357.22739217323,447.411731460223,-137.456337458344
background,-19.7,4.3,4361.32434748806,2930.21484195564,308.96006330619
background,-12.3,1.5,6475.57741066583,-562.310002165036,-44.5004393342397
background,21.1,0.699999999999989,6559.79019411318,460.530990160555,-34.0397440488133
background,-6.09999999999999,0.0999999999999943,6509.85466785488,1097.57282171143,-19.3754979709346
background,-12.9,-1.5,6477.86886198969,1981.89243069613,-27.3414674150568
background,-54.5,-5.90000000000001,3978.51822953074,1905.82822663858,440.507969190711
background,63.7,-12.9,2221.60811702221,3163.85851829356,635.484864825543
background,-25.1,-13.5,2752.40504235348,-2128.43388461409,449.991886602277
background,-38.9,-14.1,2894.84801507307,-72.2937895523369,616.665060153366
background,30.3,-17.5,2602.74543412494,1760.88618720941,519.185111809287
background,-49.7,-19.7,3555.96170842414,407.6174502929,-629.963329624963
background,-54.3,-19.9,3802.22453447389,-9531.64030384235,-379.014641470143
background,10.9,-20.9,3987.49557002423,-3325.98713392278,-194.6021787757
background,-37.5,-22.3,4040.98778378858,-3484.37175028995,-86.2267857942689
background,21.5,-23.5,3856.84522233719,-1629.79463764705,-571.031975066962
background,29.9,-24.9,3344.91385899962,2157.8172187809,-141.460470615977
background,17.3,-27.7,1851.57343175436,-3438.12551413798,-410.19934149946
background,0.700000000000017,-30.1,-11350.5655686867,-3024.55852437848,3974.95763534276
background,13.1,-32.7,-9632.55420355478,1419.09606273256,888.224904916533
background,9.30000000000001,-33.9,-13397.3186845013,-1102.28644786191,3678.20792451204
background,6.90000000000001,-39.1,-1174.691697425,-1508.15516114553,1173.82926708639
background,104.3,-53.3,-13468.072114468,-1777.70789325081,495.956920453229
background,110.3,-55.5,-13388.3413713886,-2717.4455866253,-2061.0453394138
background,144.5,-67.9,-16557.9427906883,3187.4901270042,-5984.55332907123
background,134.3,-71.9,5096.17859161806,-182.54593028358,-538.779817984683
background,87.1,-73.1,4967.66777617201,379.27323358284,-718.89277218185
background,116.5,-74.1,5356.87342166019,3196.78410857904,-456.244001407094
background,6.90000000000001,-74.5,4553.73098228775,-8045.27661682532,-661.864660195748
background,107.7,-74.7,-9114.27645520596,2447.34733924138,-575.832665657472
background,113.9,-75.3,6223.18018766719,3193.81581505606,-76.7053854618369
background,110.7,-77.3,5634.87360109338,2723.82587790076,-319.483508739182
background,85.1,-78.5,6383.15830288163,-2311.52937083092,-130.840537653787
background,89.5,-79.9,6263.75317083509,-3199.73111291189,-156.794427976364
