Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.67346E-11,0.000000002,0,0.95,0,0
9.19483E-11,0.000000011,0.000000001,0.933333333,0,0
1.88084E-10,0.00000003,0.000000002,0.916666667,0,0
5.44339E-9,0.000000574,0.000000062,0.9,0,0
3.52072E-8,0.000004095,0.000000398,0.883333333,0,0
6.21966E-8,0.000010314,0.000000704,0.866666667,0,0
6.95912E-7,0.000079906,0.000007875,0.85,0,0
7.63168E-7,0.000156222,0.000008636,0.833333333,0,0
9.56107E-7,0.000342405,0.000010819,0.8,0,0
1.91144E-6,0.000533549,0.000021629,0.783333333,0,0
3.83689E-6,0.00115145,0.000043415,0.75,0,0
1.85793E-5,0.004010411,0.000210193,0.7,0,0
2.15233E-5,0.006162746,0.000243492,0.683333333,0,0
3.90264E-5,0.012479173,0.000441416,0.65,0,0
7.96634E-5,0.0309675,0.000900635,0.6,0,0
1.20244E-4,0.051033572,0.001358797,0.566666667,0,0
1.71111E-4,0.100545131,0.0019325,0.516666667,0,0
3.36996E-4,0.208264695,0.003798864,0.45,0,0
5.46529E-4,0.346085286,0.006146351,0.4,0,0
8.35844E-4,0.429669648,0.009369538,0.383333333,0,0
8.94691E-4,0.51913879,0.010022592,0.366666667,0,0
1.04658E-3,0.623796478,0.011704142,0.35,0,0
1.05065E-3,0.728861058,0.011749111,0.333333333,0,0
1.2947E-3,0.85833111,0.014438908,0.316666667,0,0
1.50533E-3,1.008864488,0.016748613,0.3,0,0
1.52268E-3,1.161132953,0.016938392,0.283333333,0,0
1.75089E-3,1.336221772,0.019427618,0.266666667,0,0
2.89972E-3,1.626193808,0.031769923,0.25,0,0
9.91751E-3,2.617944925,0.100900211,0.233333333,0,0
1.90128E-2,4.519221479,0.17705144,0.216666667,0,0
2.24804E-2,6.767258875,0.202794175,0.2,0,0
3.20275E-2,9.970013501,0.266008799,0.183333333,0,0
3.33933E-2,13.309341125,0.274241256,0.166666667,0,0
3.67798E-2,16.987326086,0.293879958,0.15,0,0
3.78889E-2,20.776219315,0.300082515,0.133333333,0,0
4.67127E-2,25.447488827,0.34580102,0.116666667,0,0
5.10704E-2,30.554524938,0.366245056,0.1,0,0
9.87305E-2,40.427572964,0.527679101,0.083333333,0,0
1.18294E-1,52.256973296,0.572390015,0.066666667,0.5,0
1.18429E-1,64.099853311,0.572668738,0.05,0.5,0
1.45546E-1,78.654465335,0.622207611,0.033333333,0.5,0
2.13455E-1,100,0.707208267,0.016666667,0.5,0
3.16779E-1,100,0.78187727,0,0.5,0
