Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.86458E-8,0.000009865,0.000003439,1,0,0
2.76768E-7,0.000037541,0.000009648,0.983333333,0,0
3.49472E-7,0.000072489,0.000012182,0.966666667,0,0
5.4807E-7,0.000127296,0.000019105,0.95,0,0
2.82063E-6,0.000478284,0.000098314,0.916666667,0,0
2.46237E-5,0.002940652,0.000857619,0.9,0,0
9.69976E-5,0.012640409,0.003369837,0.883333333,0,0
2.96218E-4,0.042262243,0.01022032,0.866666667,0,0
2.96424E-4,0.071904656,0.010227347,0.85,0,0
6.0111E-4,0.13201565,0.020523986,0.833333333,0,0
9.27129E-4,0.290479203,0.031306916,0.8,0,0
9.46051E-4,0.385084315,0.031925477,0.783333333,0,0
9.59006E-4,0.480984911,0.03234851,0.766666667,0,0
1.44057E-3,0.625041732,0.047815525,0.75,0,0
1.88697E-3,0.813739029,0.061718163,0.733333333,0,0
3.31177E-3,1.144915994,0.103496596,0.716666667,0,0
3.45877E-3,1.490793331,0.10759633,0.7,0,0
4.24029E-3,1.91482211,0.128777094,0.683333333,0,0
5.22179E-3,2.437001116,0.153994916,0.666666667,0,0
5.64507E-3,3.001507883,0.164425235,0.65,0,0
6.13664E-3,3.615171446,0.17622013,0.633333333,0,0
6.19467E-3,4.23463799,0.177590584,0.616666667,0,0
7.06278E-3,4.940916407,0.197561274,0.6,0,0
7.31138E-3,5.672054453,0.203102717,0.583333333,0,0
8.00664E-3,6.472718198,0.218201998,0.566666667,0,0
8.94602E-3,7.367320629,0.23771703,0.55,0,0
9.49565E-3,8.316885238,0.248689729,0.533333333,0,0
9.94987E-3,9.311872679,0.257522377,0.516666667,0,0
1.1179E-2,10.429773565,0.280414147,0.5,0,0
1.25422E-2,11.557137738,0.304206261,0.483333333,0,0
1.2787E-2,12.98013747,0.308312405,0.466666667,0.125,0
1.38636E-2,14.366494617,0.325813554,0.45,0.125,0
1.40802E-2,15.774516657,0.329228823,0.433333333,0.125,0
1.43941E-2,17.213926831,0.334115938,0.416666667,0.125,0
1.5112E-2,18.725129216,0.345030616,0.4,0.125,0
1.58334E-2,20.308464737,0.355642601,0.383333333,0.125,0
1.71405E-2,22.022517526,0.374022064,0.366666667,0.125,0
1.84699E-2,23.869506097,0.39166843,0.35,0.125,0
1.94897E-2,25.818475064,0.404545575,0.333333333,0.125,0
1.99474E-2,27.813214111,0.410149421,0.316666667,0.125,0
2.5255E-2,30.338710974,0.46818725,0.3,0.125,0
2.82341E-2,33.162123172,0.496021384,0.283333333,0.125,0
2.87614E-2,36.038265642,0.500647256,0.266666667,0.125,0
2.90063E-2,38.938896276,0.502766777,0.25,0.125,0
3.09453E-2,42.033424545,0.518934572,0.233333333,0.125,0
3.37374E-2,45.407161824,0.540451437,0.216666667,0.125,0
3.45241E-2,48.859576184,0.5461713,0.2,0.125,0
3.60647E-2,51.663906723,0.556968509,0.183333333,0.125,0
3.62197E-2,51.946131172,0.558026741,0.183333333,0.25,0
3.65309E-2,52.512669827,0.560135854,0.183333333,0.625,0
3.84189E-2,56.354557103,0.572510848,0.166666667,0.625,0
4.02169E-2,57.884284315,0.583665854,0.15,0.625,0
4.3536E-2,60.708153076,0.602798965,0.15,1,0
4.59124E-2,65.29939658,0.615452382,0.133333333,1,0
4.69756E-2,69.996958454,0.620855901,0.116666667,1,0
4.90455E-2,74.901511005,0.630951963,0.1,1,0
4.91855E-2,79.820063395,0.631615433,0.083333333,1,0
5.0068E-2,84.826859442,0.635743119,0.066666667,1,0
5.0348E-2,89.861655337,0.637033577,0.05,1,0
5.06572E-2,94.927379272,0.638448404,0.033333333,1,0
5.07262E-2,100,0.6387624,0.016666667,1,0
