background,x,y,PC1,PC2,PC3
background,105.7,74.9,11540.5620744217,1991.3405657356,-811.010283843075
background,-6.69999999999999,63.3,11437.089613131,638.004733610774,-809.92866217627
background,48.5,59.7,-5644.14924427901,3444.85898485829,857.144298036196
background,51.5,56.5,-8120.0014295839,3610.21376753149,1844.93054720384
background,87.9,54.9,10142.5370022507,-1197.72507050159,-998.177218625017
background,50.7,51.3,6668.85124169712,3625.02112670109,-1457.26099469657
background,39.3,48.1,7916.16942344633,1338.92092789816,-899.376939934293
background,98.5,47.1,2081.31700977743,-10209.3345196062,677.850212150745
background,-29.5,40.7,1056.59097133962,270.819623842793,1957.2732983516
background,100.1,38.7,9123.42921487144,-1092.07294427959,-195.486388179909
background,103.7,38.5,7395.84227059955,654.793251333017,-36.0556166701809
background,58.1,35.7,7190.39898216159,3643.87661594687,722.899627340589
background,87.3,33.9,8746.197237946,1205.64399911038,51.7634709324238
background,-12.1,22.7,5689.21751344824,3229.96638550774,915.173428442469
background,-9.09999999999999,16.9,5861.36384203654,292.788176277604,1210.03078986007
background,5.70000000000002,15.9,4939.33792274515,-4063.74763888947,2220.82361066925
background,-0.299999999999983,12.9,6438.85297492723,-410.566710921677,1369.36291967045
background,15.1,12.7,5756.83782232648,1517.40532512217,1872.91192563296
background,35.1,11.3,6818.01032706647,3542.17373222501,1027.33937985014
background,-7.09999999999999,10.3,8030.60202231597,516.807281611779,621.009050063292
background,13.7,10.3,7815.32427078828,981.358626710817,761.271769628822
background,129.5,8.89999999999999,10586.3601966284,3636.92285584551,-546.728583932645
background,-12.5,6.3,10389.5228947953,1356.25813397515,-539.697635024344
background,20.9,4.5,10431.1157753898,-205.09108559386,-535.13913655434
background,28.7,0.699999999999989,11520.348888582,1509.40028663096,-835.007432116746
background,20.1,0.5,11514.1752220482,1495.66355113387,-831.306010197919
background,-35.1,-5.10000000000001,11232.0599903717,2497.23185686745,-569.435548309575
background,23.1,-9.10000000000001,9644.1810663786,2708.71766107111,-356.78283992337
background,19.1,-13.7,8529.53834745658,2256.70950679404,368.843165064652
background,21.9,-15.3,7760.62412672096,2275.06824808405,476.511946254338
background,-15.1,-20.3,6713.37068700933,-2953.04906293121,931.305087305443
background,18.9,-21.3,7562.54547139591,2382.93984042379,333.776509878201
background,-8.09999999999999,-21.7,7070.25416760661,-9431.71844668427,654.364504305006
background,13.9,-23.9,8748.86907990607,1605.82358583652,-819.459858003307
background,-24.3,-31.5,-2313.92849709899,2298.67406388095,-662.884228727531
background,-1.29999999999998,-32.3,-4341.85611398683,1452.45388580254,1918.03330249317
background,1.70000000000002,-33.3,-3589.26602891988,-37.1280398714366,1490.31695405565
background,33.1,-33.5,4557.13056649509,2956.95883347061,951.742999110004
background,39.5,-36.7,2474.43240282243,407.016894490181,1040.00089166963
background,21.9,-36.9,-688.10823837578,-2752.83090268514,1760.47494876622
background,20.9,-37.3,-691.066824435309,-1406.46229687005,1750.52946771241
background,4.30000000000001,-41.9,6991.23011258546,3241.01844465838,507.681822747527
background,-33.7,-48.1,10097.8757927204,-4397.91112378182,-307.636063238848
background,12.9,-52.3,7912.41039780136,-1443.39262984408,-1184.911346635
background,32.5,-54.5,9384.38105329203,-2128.68222745501,-350.847577329916
background,49.5,-58.3,5461.2333443651,-1222.62204026783,-947.355792667058
background,81.9,-60.7,-7271.43660867667,-2986.99933541022,2249.59880540666
background,69.9,-61.7,-5073.91734776663,-561.447772202266,1026.05039851427
background,67.1,-62.3,-4529.66584262868,-5126.98143792022,980.049146608092
background,21.9,-63.5,-769.574050969615,-4521.71650894065,136.916575206663
background,95.5,-66.1,-25608.5406991531,2268.76836243906,4699.73366394695
background,13.3,-66.9,-7449.81736329683,2530.72217979139,-650.116561851335
background,65.7,-67.5,-26971.8774572209,-2340.46868349012,1008.11009274828
background,46.1,-69.9,-17336.5934360027,1008.8359321821,162.501146134016
background,72.3,-73.7,-37246.2349742879,-3828.58747785067,6868.69458990664
background,65.1,-76.7,-34366.6676815284,-3128.31526712408,5656.40534525729
background,10.3,-77.7,-150350.561933267,2721.15968894083,-23858.4186359779
background,66.3,-78.1,-34365.1724378735,-3808.66788226014,5661.43040802657
background,4.90000000000001,-78.3,-155492.363115781,2241.18971166315,-18322.2996046905
background,116.1,-79.3,9695.02471340052,-5004.06941542361,-1191.29561065623
